Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
539,Etienne Youte Kinkoue,frFRA,DF,Le Havre,22,2002,28,26,"2,320",25.8,0,0,0,0,0,0,4,1,1.3,1.3,0.2,1.5,12,63,4,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06,Matches
540,Eloge Zabi,ciCIV,"DF,MF",Reims,17,2006,2,0,18,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Matches
541,Yoram Zague,frFRA,"DF,FW",Paris S-G,18,2006,4,2,183,2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,10,17,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches
542,Wilfried Zaha,ciCIV,FW,Lyon,31,1992,4,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,9,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
543,Warren Zaïre-Emery,frFRA,"MF,DF",Paris S-G,18,2006,29,23,"2,050",22.8,1,2,3,1,0,0,3,0,1.7,1.7,1.4,3.1,49,135,92,0.04,0.09,0.13,0.04,0.13,0.07,0.06,0.14,0.07,0.14,Matches
544,Miha Zajc,siSVN,MF,Toulouse,30,1994,19,1,262,2.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,7,24,9,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1,Matches
545,Denis Zakaria,chSUI,MF,Monaco,27,1996,26,24,"2,144",23.8,6,4,10,4,2,2,5,0,5.2,3.6,1.4,5,27,113,36,0.25,0.17,0.42,0.17,0.34,0.22,0.06,0.28,0.15,0.21,Matches
546,Anass Zaroury,maMAR,"FW,MF",Lens,23,2000,28,16,"1,405",15.6,2,2,4,2,0,0,3,1,1.7,1.7,2.9,4.6,49,65,107,0.13,0.13,0.26,0.13,0.26,0.11,0.18,0.29,0.11,0.29,Matches
547,Nathan Zeze,frFRA,DF,Nantes,19,2005,18,17,"1,512",16.8,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,2,46,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
548,Edon Zhegrova,xkKVX,"FW,MF",Lille,25,1999,12,12,978,10.9,4,1,5,4,0,0,1,0,2.3,2.3,2.2,4.5,37,54,81,0.37,0.09,0.46,0.37,0.46,0.21,0.21,0.41,0.21,0.41,Matches
549,Melvin Zinga,frFRA,GK,Angers,22,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
550,Luck Zogbé,ciCIV,DF,Brest,19,2005,13,7,638,7.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,4,19,19,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
551,Aristide Zossou,ciCIV,MF,Auxerre,19,2005,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,Matches
552,Yanis Zouaoui,dzALG,"DF,FW",Le Havre,30,1994,17,9,976,10.8,0,2,2,0,0,0,3,0,0.1,0.1,2.9,3.1,33,32,33,0,0.18,0.18,0,0.18,0.01,0.27,0.28,0.01,0.28,Matches
553,Edhy Zuliani,frFRA,DF,Toulouse,19,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
